"indicator","geography_code","quintile","period","numerator","indicator_measure","lower_confidence_interval","upper_confidence_interval","definition","relative_inequality_gap","lower_confidence_interval_relative_ineq","upper_confidence_interval_relative_ineq","absolute_inequality_gap","lower_confidence_interval_absolute_ineq","upper_confidence_interval_absolute_ineq","population_attributable_risk"
"Psychiatric patient hospitalisations","S12000018","3","2002/03 to 2004/05 financial years; 3-year aggregates",94,595.6,471.7,739.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2002/03 to 2004/05 financial years; 3-year aggregates",71.7,434,334.1,553.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2002/03 to 2004/05 financial years; 3-year aggregates",44.7,292.1,209.5,395.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2002/03 to 2004/05 financial years; 3-year aggregates",512.3,653.1,594.9,715.2,"Age-sex standardised rate per 100,000",79.6,58.3,101,1040.2,761.3,1319,55.6
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2003/04 to 2005/06 financial years; 3-year aggregates",168.3,1105.8,941.1,1290.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2003/04 to 2005/06 financial years; 3-year aggregates",131.3,835.5,694.7,995.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2003/04 to 2005/06 financial years; 3-year aggregates",87.3,548.1,431.4,684.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2003/04 to 2005/06 financial years; 3-year aggregates",68.3,423.7,324.8,542.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2003/04 to 2005/06 financial years; 3-year aggregates",50,330.9,241.9,440.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2003/04 to 2005/06 financial years; 3-year aggregates",505.3,639.4,583,699.7,"Age-sex standardised rate per 100,000",76.5,43.4,109.5,978.2,555.5,1400.8,48.9
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2004/05 to 2006/07 financial years; 3-year aggregates",168,1099.7,935.8,1283.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2004/05 to 2006/07 financial years; 3-year aggregates",122.3,772,637.1,926.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2004/05 to 2006/07 financial years; 3-year aggregates",86.3,561.9,437.9,707.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2004/05 to 2006/07 financial years; 3-year aggregates",63.7,411.4,312.8,530.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2004/05 to 2006/07 financial years; 3-year aggregates",47,311.6,226.4,417.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2004/05 to 2006/07 financial years; 3-year aggregates",487.3,621.8,565.9,681.5,"Age-sex standardised rate per 100,000",77.9,45.5,110.3,968.7,566.1,1371.4,50.7
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2005/06 to 2007/08 financial years; 3-year aggregates",156,1013.4,857.5,1188.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2005/06 to 2007/08 financial years; 3-year aggregates",118,747.6,614.3,900.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2005/06 to 2007/08 financial years; 3-year aggregates",83.3,566.1,425.5,731.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2005/06 to 2007/08 financial years; 3-year aggregates",54.7,348.5,259.2,457.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2005/06 to 2007/08 financial years; 3-year aggregates",44,297.1,213.4,402,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2005/06 to 2007/08 financial years; 3-year aggregates",456,583.4,529.2,641.5,"Age-sex standardised rate per 100,000",78.4,50.3,106.6,914.9,586.4,1243.5,50.1
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2006/07 to 2008/09 financial years; 3-year aggregates",159,1019.6,864.5,1194.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2006/07 to 2008/09 financial years; 3-year aggregates",117,750.9,613.2,908.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2006/07 to 2008/09 financial years; 3-year aggregates",89.7,590.1,451.6,752.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2006/07 to 2008/09 financial years; 3-year aggregates",55.3,355.5,263.1,468.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2006/07 to 2008/09 financial years; 3-year aggregates",33,221.6,150.5,313.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2006/07 to 2008/09 financial years; 3-year aggregates",454,580.2,525.7,638.7,"Age-sex standardised rate per 100,000",85.6,69,102.1,993.2,801.2,1185.1,62.4
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2007/08 to 2009/10 financial years; 3-year aggregates",156.3,994.6,842,1166.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2007/08 to 2009/10 financial years; 3-year aggregates",118,755.9,618.9,912.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2007/08 to 2009/10 financial years; 3-year aggregates",85,541.2,412.1,692.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2007/08 to 2009/10 financial years; 3-year aggregates",52.3,322.8,235.8,429.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2007/08 to 2009/10 financial years; 3-year aggregates",32.3,212.2,143.4,301.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2007/08 to 2009/10 financial years; 3-year aggregates",444,561.4,508.3,618.3,"Age-sex standardised rate per 100,000",88.6,70.2,107,994.5,788,1200.9,62.6
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2008/09 to 2010/11 financial years; 3-year aggregates",145.3,921.8,775.4,1087.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2008/09 to 2010/11 financial years; 3-year aggregates",104.7,673.8,545.4,822.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2008/09 to 2010/11 financial years; 3-year aggregates",81,487.9,386,608.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2008/09 to 2010/11 financial years; 3-year aggregates",53.7,334.2,243.6,445.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2008/09 to 2010/11 financial years; 3-year aggregates",30.7,194.5,130.1,278.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2008/09 to 2010/11 financial years; 3-year aggregates",415.3,523.2,472.3,578,"Age-sex standardised rate per 100,000",85.5,67.2,103.9,895.1,702.9,1087.3,62.9
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2009/10 to 2011/12 financial years; 3-year aggregates",113.7,718.2,589.8,865.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2009/10 to 2011/12 financial years; 3-year aggregates",88.3,572.5,455.7,709.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2009/10 to 2011/12 financial years; 3-year aggregates",68,425.9,328.6,542.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2009/10 to 2011/12 financial years; 3-year aggregates",44.3,272,193.9,369.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2009/10 to 2011/12 financial years; 3-year aggregates",31.7,200.3,133.8,287.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2009/10 to 2011/12 financial years; 3-year aggregates",346,439.2,392.8,489.5,"Age-sex standardised rate per 100,000",76.1,61.1,91.1,668.6,536.9,800.2,54.4
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2010/11 to 2012/13 financial years; 3-year aggregates",86.7,540.5,430.5,669.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2010/11 to 2012/13 financial years; 3-year aggregates",81.7,546.7,430.2,684.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2010/11 to 2012/13 financial years; 3-year aggregates",61,397,299.2,515.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2010/11 to 2012/13 financial years; 3-year aggregates",37.7,235,163.4,326.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2010/11 to 2012/13 financial years; 3-year aggregates",30.3,186,123.4,268.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2010/11 to 2012/13 financial years; 3-year aggregates",297.3,379.7,336.5,426.8,"Age-sex standardised rate per 100,000",67.2,32.1,102.2,510.1,243.8,776.4,51.3
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2011/12 to 2013/14 financial years; 3-year aggregates",86.3,536.8,427.6,664.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2011/12 to 2013/14 financial years; 3-year aggregates",88,592.5,470.6,735.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2011/12 to 2013/14 financial years; 3-year aggregates",56,367.9,273.4,483.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2011/12 to 2013/14 financial years; 3-year aggregates",31.7,197.4,133.1,281.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2011/12 to 2013/14 financial years; 3-year aggregates",30,181.2,119.9,261.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2011/12 to 2013/14 financial years; 3-year aggregates",292,372.7,330.1,419.2,"Age-sex standardised rate per 100,000",74.1,18.7,129.5,552.3,139.5,965.1,51.8
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2012/13 to 2014/15 financial years; 3-year aggregates",104.3,654.3,532.3,795.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2012/13 to 2014/15 financial years; 3-year aggregates",85.7,584.1,460.4,729.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2012/13 to 2014/15 financial years; 3-year aggregates",55.3,352.7,262.6,462.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2012/13 to 2014/15 financial years; 3-year aggregates",36,218.2,151,304.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2012/13 to 2014/15 financial years; 3-year aggregates",29.3,174.2,115.4,251.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2012/13 to 2014/15 financial years; 3-year aggregates",310.7,394.5,350.8,441.9,"Age-sex standardised rate per 100,000",84.1,49.5,118.8,663.9,390.5,937.3,56.1
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2013/14 to 2015/16 financial years; 3-year aggregates",120,755.7,623.8,906.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2013/14 to 2015/16 financial years; 3-year aggregates",79,543.2,424.7,683.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2013/14 to 2015/16 financial years; 3-year aggregates",51.7,319.9,236.1,423.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2013/14 to 2015/16 financial years; 3-year aggregates",42.7,260.8,186.1,354.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2013/14 to 2015/16 financial years; 3-year aggregates",25,156.9,99.2,234.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2013/14 to 2015/16 financial years; 3-year aggregates",318.3,407.2,362.7,455.5,"Age-sex standardised rate per 100,000",91,50.6,131.4,741.1,411.8,1070.3,61.5
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2014/15 to 2016/17 financial years; 3-year aggregates",120.3,763.6,629.6,917,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2014/15 to 2016/17 financial years; 3-year aggregates",69,483.4,372.9,615.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2014/15 to 2016/17 financial years; 3-year aggregates",50.3,308.6,227.4,408.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2014/15 to 2016/17 financial years; 3-year aggregates",47.3,280.8,204.1,376.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2014/15 to 2016/17 financial years; 3-year aggregates",22.3,146.6,89.6,224.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2014/15 to 2016/17 financial years; 3-year aggregates",309.3,396.6,352.7,444.3,"Age-sex standardised rate per 100,000",90.5,38.6,142.4,717.9,306,1129.8,63.1
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2015/16 to 2017/18 financial years; 3-year aggregates",110.3,707,577.4,856.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2015/16 to 2017/18 financial years; 3-year aggregates",69,477.7,369.1,607.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2015/16 to 2017/18 financial years; 3-year aggregates",51,321.9,237.5,425.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2015/16 to 2017/18 financial years; 3-year aggregates",51.3,304.2,224.2,402.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2015/16 to 2017/18 financial years; 3-year aggregates",22,143.8,87.8,220.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2015/16 to 2017/18 financial years; 3-year aggregates",303.7,388.9,345.5,436.2,"Age-sex standardised rate per 100,000",83.3,42.1,124.4,647.6,327.8,967.5,63.3
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2016/17 to 2018/19 financial years; 3-year aggregates",107,712.8,578.9,867.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2016/17 to 2018/19 financial years; 3-year aggregates",82,557.8,441,695.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2016/17 to 2018/19 financial years; 3-year aggregates",53.7,345.6,257.6,453.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2016/17 to 2018/19 financial years; 3-year aggregates",52.3,299.2,221.1,395.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2016/17 to 2018/19 financial years; 3-year aggregates",23.7,148.3,93.1,223.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2016/17 to 2018/19 financial years; 3-year aggregates",318.7,409.7,365.1,458.2,"Age-sex standardised rate per 100,000",84.4,57.2,111.7,691.8,468.6,915,64.1
"Psychiatric patient hospitalisations","S12000018","1 - most deprived","2017/18 to 2019/20 financial years; 3-year aggregates",108,721,587.9,874.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","2","2017/18 to 2019/20 financial years; 3-year aggregates",94.7,638.4,513.4,784,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","3","2017/18 to 2019/20 financial years; 3-year aggregates",54.7,359.4,268.8,470.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","4","2017/18 to 2019/20 financial years; 3-year aggregates",55.3,318.9,237.6,418.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","5 - least deprived","2017/18 to 2019/20 financial years; 3-year aggregates",26,160.8,103.3,238,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000018","Total","2017/18 to 2019/20 financial years; 3-year aggregates",338.7,437.8,391.5,488,"Age-sex standardised rate per 100,000",82.2,48.9,115.4,719.4,428.3,1010.4,63.5
"Psychiatric patient hospitalisations","S12000019","1 - most deprived","2002/03 to 2004/05 financial years; 3-year aggregates",95,638.4,512.4,785.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","2","2002/03 to 2004/05 financial years; 3-year aggregates",73.3,483.4,371.5,616.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","3","2002/03 to 2004/05 financial years; 3-year aggregates",57.3,373.5,281.8,485.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","4","2002/03 to 2004/05 financial years; 3-year aggregates",39.3,308.5,208.6,435.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","5 - least deprived","2002/03 to 2004/05 financial years; 3-year aggregates",24,181.8,111.9,276.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","Total","2002/03 to 2004/05 financial years; 3-year aggregates",289,392.3,346.1,442.8,"Age-sex standardised rate per 100,000",69.1,52.3,85.8,541.8,410.4,673.3,54
"Psychiatric patient hospitalisations","S12000019","1 - most deprived","2003/04 to 2005/06 financial years; 3-year aggregates",84.3,575.8,444.3,730.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","2","2003/04 to 2005/06 financial years; 3-year aggregates",70,459.8,351.4,589.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","3","2003/04 to 2005/06 financial years; 3-year aggregates",53.3,359.6,266.5,473.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","4","2003/04 to 2005/06 financial years; 3-year aggregates",34,260.9,169.9,378.5,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","5 - least deprived","2003/04 to 2005/06 financial years; 3-year aggregates",24,172.8,107,262.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","Total","2003/04 to 2005/06 financial years; 3-year aggregates",265.7,362.2,317.1,411.6,"Age-sex standardised rate per 100,000",69.3,62.9,75.7,501.9,455.8,548.1,52.6
"Psychiatric patient hospitalisations","S12000019","1 - most deprived","2004/05 to 2006/07 financial years; 3-year aggregates",75.3,505.6,384.8,649,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","2","2004/05 to 2006/07 financial years; 3-year aggregates",61,407,304,531.6,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","3","2004/05 to 2006/07 financial years; 3-year aggregates",51.3,345.8,254.1,458.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","4","2004/05 to 2006/07 financial years; 3-year aggregates",28.7,224.8,137.6,340,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","5 - least deprived","2004/05 to 2006/07 financial years; 3-year aggregates",25.3,172,109.5,256.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","Total","2004/05 to 2006/07 financial years; 3-year aggregates",241.7,330.8,287.5,378.5,"Age-sex standardised rate per 100,000",64.3,51,77.6,425.4,337.3,513.5,47.9
"Psychiatric patient hospitalisations","S12000019","1 - most deprived","2005/06 to 2007/08 financial years; 3-year aggregates",63.7,422.5,319,547.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","2","2005/06 to 2007/08 financial years; 3-year aggregates",49.3,330.7,239,444.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","3","2005/06 to 2007/08 financial years; 3-year aggregates",47.7,323.9,234.6,434.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","4","2005/06 to 2007/08 financial years; 3-year aggregates",27.3,203,126.2,305.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","5 - least deprived","2005/06 to 2007/08 financial years; 3-year aggregates",24,167.6,101.3,257.7,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","Total","2005/06 to 2007/08 financial years; 3-year aggregates",212,290.4,250,335.1,"Age-sex standardised rate per 100,000",55,31.3,78.7,319.4,181.5,457.2,42
"Psychiatric patient hospitalisations","S12000019","1 - most deprived","2006/07 to 2008/09 financial years; 3-year aggregates",58,375.2,283.9,486.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","2","2006/07 to 2008/09 financial years; 3-year aggregates",43,293.4,206.9,401.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","3","2006/07 to 2008/09 financial years; 3-year aggregates",44.3,290.5,207.4,394.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","4","2006/07 to 2008/09 financial years; 3-year aggregates",25.3,190.9,115.9,291.9,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","5 - least deprived","2006/07 to 2008/09 financial years; 3-year aggregates",20.7,155.8,84.6,254.8,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","Total","2006/07 to 2008/09 financial years; 3-year aggregates",191.3,260.9,222.8,303.3,"Age-sex standardised rate per 100,000",52,29.7,74.3,271.3,155,387.6,40.3
"Psychiatric patient hospitalisations","S12000019","1 - most deprived","2007/08 to 2009/10 financial years; 3-year aggregates",57.7,375.3,280.7,490.4,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","2","2007/08 to 2009/10 financial years; 3-year aggregates",34,236.1,158.7,336,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","3","2007/08 to 2009/10 financial years; 3-year aggregates",38.3,249.9,173.5,347.2,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","4","2007/08 to 2009/10 financial years; 3-year aggregates",30.3,210.8,138.3,306.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","5 - least deprived","2007/08 to 2009/10 financial years; 3-year aggregates",19.7,156.6,84.2,258.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","Total","2007/08 to 2009/10 financial years; 3-year aggregates",180,244.9,208,286.1,"Age-sex standardised rate per 100,000",47.3,6.8,87.7,231.5,33.5,429.6,36.5
"Psychiatric patient hospitalisations","S12000019","1 - most deprived","2008/09 to 2010/11 financial years; 3-year aggregates",51.3,331.1,242.4,440.3,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","2","2008/09 to 2010/11 financial years; 3-year aggregates",36,247.2,168.5,348.1,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
"Psychiatric patient hospitalisations","S12000019","3","2008/09 to 2010/11 financial years; 3-year aggregates",36.7,232.7,160.5,325,"Age-sex standardised rate per 100,000",NA,NA,NA,NA,NA,NA,NA
